title,description,date,enddate,location,address,url,category,tags
"Tech Conference 2024","Annual technology conference with industry leaders","2024-03-15","2024-03-17","Convention Center","123 Main St, San Francisco, CA 94102","https://techconf2024.com","Technology","tech,conference,networking"
"Art Gallery Opening","Contemporary art exhibition opening night","2024-03-20",,"Modern Art Gallery","456 Art Ave, New York, NY 10001","https://modernart.gallery","Arts","art,gallery,exhibition"
"Music Festival","Three-day outdoor music festival","2024-04-01","2024-04-03","Central Park","Central Park, New York, NY 10024","https://musicfest.com","Music","music,festival,outdoor"
"Food Truck Rally","Local food trucks gathering","2024-03-25",,"Downtown Plaza","789 Food St, Austin, TX 78701",,"Food","food,trucks,local"
"Book Reading","Author reading from new novel","2024-03-30",,"City Library","321 Library Ln, Seattle, WA 98101","https://citylibrary.org","Literature","books,reading,author"
"Startup Pitch Night","Entrepreneurs pitch their ideas","2024-04-05",,"Innovation Hub","654 Startup Blvd, Palo Alto, CA 94301","https://innovationhub.com","Business","startup,pitch,entrepreneurship"
"Yoga in the Park","Free outdoor yoga session","2024-03-28",,"Riverside Park","Riverside Park, Portland, OR 97201",,"Health","yoga,outdoor,free"
"Cooking Class","Learn to make Italian pasta","2024-04-02",,"Culinary School","987 Chef St, Chicago, IL 60601","https://culinaryschool.edu","Education","cooking,italian,pasta"
"Photography Workshop","Digital photography techniques","2024-04-08",,"Photo Studio","147 Camera Ave, Los Angeles, CA 90210","https://photostudio.com","Education","photography,workshop,digital"
"Charity Run","5K run for local charity","2024-04-10",,"City Park","City Park, Denver, CO 80202","https://charityrun.org","Sports","running,charity,5k"
